Key,scientificName,commonName
aquwar1,Acrocephalus paludicola,Aquatic Warbler
marwar3,Acrocephalus palustris,Marsh Warbler
marrew2,Acrocephalus percernis,Northern Marquesan Reed Warbler
narwar1,Acrocephalus rehsei,Nauru Reed Warbler
rimrew1,Acrocephalus rimitarae,Rimitara Reed Warbler
rodbrw1,Acrocephalus rodericanus,Rodrigues Warbler
grswar2,Acrocephalus rufescens,Greater Swamp Warbler
sedwar1,Acrocephalus schoenobaenus,Sedge Warbler
eurwar1,Acrocephalus scirpaceus,Eurasian Reed Warbler
sebwar1,Acrocephalus sechellensis,Seychelles Warbler
strwar1,Acrocephalus sorghophilus,Streaked Reed Warbler
clrwar1,Acrocephalus stentoreus,Clamorous Reed Warbler
carrew1,Acrocephalus syrinx,Caroline Reed Warbler
hirwar1,Acrocephalus taiti,Henderson Island Reed Warbler
manrew1,Acrocephalus tangorum,Manchurian Reed Warbler
pirwar2,Acrocephalus vaughani,Pitcairn Reed Warbler
pagrew1,Acrocephalus yamashinae,Pagan Reed Warbler
ocetap1,Acropternis orthonyx,Ocellated Tapaculo
vulgui1,Acryllium vulturinum,Vulturine Guineafowl
moukin2,Actenoides bougainvillei,Moustached Kingfisher
ruckin1,Actenoides concretus,Rufous-collared Kingfisher
blckin2,Actenoides hombroni,Blue-capped Kingfisher
spokin1,Actenoides lindsayi,Spotted Kingfisher
grbkin1,Actenoides monachus,Green-backed Kingfisher
scakin1,Actenoides princeps,Scaly-breasted Kingfisher
blwmin1,Actinodura cyanouroptera,Blue-winged Minla
rufbar1,Actinodura egertoni,Rusty-fronted Barwing
taibar1,Actinodura morrisoniana,Taiwan Barwing
hotbar1,Actinodura nipalensis,Hoary-throated Barwing
spebar1,Actinodura ramsayi,Spectacled Barwing
bkcbar1,Actinodura sodangorum,Black-crowned Barwing
strbar1,Actinodura souliei,Streaked Barwing
chtmin1,Actinodura strigula,Chestnut-tailed Minla
sttbar1,Actinodura waldeni,Streak-throated Barwing
comsan,Actitis hypoleucos,Common Sandpiper
sposan,Actitis macularius,Spotted Sandpiper
afrjac1,Actophilornis africanus,African Jacana
madjac1,Actophilornis albinucha,Madagascar Jacana
spehum1,Adelomyia melanogenys,Speckled Hummingbird
clagre,Aechmophorus clarkii,Clark's Grebe
wesgre,Aechmophorus occidentalis,Western Grebe
lottit1,Aegithalos caudatus,Long-tailed Tit
blttit2,Aegithalos concinnus,Black-throated Tit
sootit1,Aegithalos fuliginosus,Sooty Tit
lottit5,Aegithalos glaucogularis,Silver-throated Tit
bkbtit3,Aegithalos iouschistos,Black-browed Tit
whctit1,Aegithalos leucogenys,White-cheeked Tit
whttit1,Aegithalos niveogularis,White-throated Tit
greior1,Aegithina lafresnayei,Great Iora
whtior1,Aegithina nigrolutea,White-tailed Iora
comior1,Aegithina tiphia,Common Iora
greior2,Aegithina viridissima,Green Iora
nswowl,Aegolius acadicus,Northern Saw-whet Owl
borowl,Aegolius funereus,Boreal Owl
bswowl1,Aegolius gradyi,Bermuda Saw-whet Owl
bufowl1,Aegolius harrisii,Buff-fronted Owl
uswowl1,Aegolius ridgwayi,Unspotted Saw-whet Owl
barown2,Aegotheles affinis,Vogelkop Owlet-nightjar
moonig1,Aegotheles albertisi,Mountain Owlet-nightjar
aronig1,Aegotheles archboldi,Archbold's Owlet-nightjar
barown1,Aegotheles bennettii,Barred Owlet-nightjar
molown1,Aegotheles crinifrons,Moluccan Owlet-nightjar
auonig1,Aegotheles cristatus,Australian Owlet-nightjar
feonig1,Aegotheles insignis,Feline Owlet-nightjar
nconig1,Aegotheles savesi,New Caledonian Owlet-nightjar
spaown1,Aegotheles tatei,Starry Owlet-nightjar
waonig1,Aegotheles wallacii,Wallace's Owlet-nightjar
cinvul1,Aegypius monachus,Cinereous Vulture
watbrt1,Aepypodius arfakianus,Wattled Brushturkey
brubrt1,Aepypodius bruijnii,Waigeo Brushturkey
palswi2,Aerodramus amelis,Ameline Swiftlet
marswi,Aerodramus bartschi,Mariana Swiftlet
himswi2,Aerodramus brevirostris,Himalayan Swiftlet
molswi1,Aerodramus ceramensis,Seram Swiftlet
seyswi1,Aerodramus elaphrus,Seychelles Swiftlet
masswi1,Aerodramus francicus,Mascarene Swiftlet
ednswi1,Aerodramus fuciphagus,White-nest Swiftlet
gerswi1,Aerodramus germani,Germain's Swiftlet
mouswi2,Aerodramus hirundinaceus,Mountain Swiftlet
molswi3,Aerodramus infuscatus,Halmahera Swiftlet
caiswi1,Aerodramus inquietus,Caroline Islands Swiftlet
polswi1,Aerodramus leucophaeus,Polynesian Swiftlet
blnswi1,Aerodramus maximus,Black-nest Swiftlet
phiswi1,Aerodramus mearnsi,Philippine Swiftlet
balswi1,Aerodramus nuditarsus,Bare-legged Swiftlet
marswi2,Aerodramus ocistus,Marquesan Swiftlet
mayswi1,Aerodramus orientalis,Mayr's Swiftlet
papswi1,Aerodramus papuensis,Three-toed Swiftlet
palswi1,Aerodramus pelewensis,Palau Swiftlet
monswi2,Aerodramus salangana,Mossy-nest Swiftlet
atiswi1,Aerodramus sawtelli,Atiu Swiftlet
molswi4,Aerodramus sororum,Sulawesi Swiftlet
whrswi2,Aerodramus spodiopygius,White-rumped Swiftlet
ausswi1,Aerodramus terraereginae,Australian Swiftlet
indswi1,Aerodramus unicolor,Indian Swiftlet
uniswi1,Aerodramus vanikorensis,Uniform Swiftlet
volswi1,Aerodramus vulcanorum,Volcano Swiftlet
whiswi1,Aerodramus whiteheadi,Whitehead's Swiftlet
andswi1,Aeronautes andecolus,Andean Swift
whtswi1,Aeronautes montivagus,White-tipped Swift
whtswi,Aeronautes saxatalis,White-throated Swift
creauk,Aethia cristatella,Crested Auklet
parauk,Aethia psittacula,Parakeet Auklet
leaauk,Aethia pusilla,Least Auklet
whiauk,Aethia pygmaea,Whiskered Auklet
hansun1,Aethopyga bella,Handsome Sunbird
moasun1,Aethopyga boltoni,Apo Sunbird
fotsun1,Aethopyga christinae,Fork-tailed Sunbird
bohsun1,Aethopyga decorosa,Bohol Sunbird
elesun1,Aethopyga duyvenbodei,Elegant Sunbird
whfsun1,Aethopyga eximia,White-flanked Sunbird
flasun1,Aethopyga flagrans,Flaming Sunbird
gousun1,Aethopyga gouldiae,Mrs. Gould's Sunbird
mansun1,Aethopyga guimarasensis,Maroon-naped Sunbird
fitsun1,Aethopyga ignicauda,Fire-tailed Sunbird
mousun1,Aethopyga jefferyi,Mountain Sunbird
linsun1,Aethopyga linaraborae,Lina's Sunbird
magsun1,Aethopyga magnifica,Magnificent Sunbird
scasun1,Aethopyga mystacalis,Javan Sunbird
grtsun1,Aethopyga nipalensis,Green-tailed Sunbird
gyhsun2,Aethopyga primigenia,Gray-hooded Sunbird
mewsun2,Aethopyga pulcherrima,Metallic-winged Sunbird
bltsun1,Aethopyga saturata,Black-throated Sunbird
lovsun1,Aethopyga shelleyi,Lovely Sunbird
eacsun1,Aethopyga siparaja,Crimson Sunbird
temsun1,Aethopyga temminckii,Temminck's Sunbird
tbosun1,Aethopyga tibolii,Tboli Sunbird
wecsun1,Aethopyga vigorsii,Vigors's Sunbird
conpea1,Afropavo congensis,Congo Peacock
agaher1,Agamia agami,Agami Heron
gyhlov1,Agapornis canus,Gray-headed Lovebird
fislov1,Agapornis fischeri,Fischer's Lovebird
lillov1,Agapornis lilianae,Lilian's Lovebird
blclov1,Agapornis nigrigenis,Black-cheeked Lovebird
yeclov,Agapornis personatus,Yellow-collared Lovebird
rehlov1,Agapornis pullarius,Red-headed Lovebird
peflov,Agapornis roseicollis,Rosy-faced Lovebird
blclov2,Agapornis swindernianus,Black-collared Lovebird
blwlov1,Agapornis taranta,Black-winged Lovebird
bawcow4,Agelaioides badius,Grayish Baywing
bawcow3,Agelaioides fringillarius,Pale Baywing
resbla1,Agelaius assimilis,Red-shouldered Blackbird
tasbla,Agelaius humeralis,Tawny-shouldered Blackbird
rewbla,Agelaius phoeniceus,Red-winged Blackbird
tribla,Agelaius tricolor,Tricolored Blackbird
yesbla1,Agelaius xanthomus,Yellow-shouldered Blackbird
whbgui1,Agelastes meleagrides,White-breasted Guineafowl
blagui1,Agelastes niger,Black Guineafowl
unibla2,Agelasticus cyanopus,Unicolored Blackbird
yewbla2,Agelasticus thilius,Yellow-winged Blackbird
paebla2,Agelasticus xanthophthalmus,Pale-eyed Blackbird
pubsun1,Aglaeactis aliciae,Purple-backed Sunbeam
whtsun1,Aglaeactis castelnaudii,White-tufted Sunbeam
shisun1,Aglaeactis cupripennis,Shining Sunbeam
blhsun1,Aglaeactis pamela,Black-hooded Sunbeam
vensyl1,Aglaiocercus berlepschi,Venezuelan Sylph
vitsyl1,Aglaiocercus coelestis,Violet-tailed Sylph
lotsyl1,Aglaiocercus kingii,Long-tailed Sylph
blaros1,Agraphospiza rubescens,Blanford's Rosefinch
chafly2,Agricola infuscatus,Chat Flycatcher
palfly2,Agricola pallidus,Pale Flycatcher
wtstyr1,Agriornis albicauda,White-tailed Shrike-Tyrant
gresht1,Agriornis lividus,Great Shrike-Tyrant
gybsht1,Agriornis micropterus,Gray-bellied Shrike-Tyrant
bkbsht1,Agriornis montanus,Black-billed Shrike-Tyrant
lessht1,Agriornis murinus,Lesser Shrike-Tyrant
chcsta1,Agropsar philippensis,Chestnut-cheeked Starling
dausta1,Agropsar sturninus,Daurian Starling
plhfin1,Aidemosyne modesta,Plum-headed Finch
arfcat1,Ailuroedus arfakianus,Arfak Catbird
huocat1,Ailuroedus astigmaticus,Huon Catbird
whecat1,Ailuroedus buccoides,White-eared Catbird
grecat1,Ailuroedus crassirostris,Green Catbird
taccat1,Ailuroedus geislerorum,Tan-capped Catbird
norcat1,Ailuroedus jobiensis,Northern Catbird
spocat2,Ailuroedus maculosus,Spotted Catbird
bkccat1,Ailuroedus melanocephalus,Black-capped Catbird
spocat1,Ailuroedus melanotis,Black-eared Catbird
ocbcat1,Ailuroedus stonii,Ochre-breasted Catbird
oaxspa1,Aimophila notosticta,Oaxaca Sparrow
russpa1,Aimophila rufescens,Rusty Sparrow
rucspa,Aimophila ruficeps,Rufous-crowned Sparrow
manduc,Aix galericulata,Mandarin Duck
wooduc,Aix sponsa,Wood Duck
greaki2,Akialoa ellisiana,Oahu Akialoa
greaki3,Akialoa lanaiensis,Maui-nui Akialoa
lesaki,Akialoa obscura,Lesser Akialoa
greaki4,Akialoa stejnegeri,Kauai Akialoa
goeant1,Akletos goeldii,Goeldi's Antbird
whsant1,Akletos melanoceps,White-shouldered Antbird
grhlar1,Alaemon alaudipes,Greater Hoopoe-Lark
lehlar1,Alaemon hamertoni,Lesser Hoopoe-Lark
skylar,Alauda arvensis,Eurasian Skylark
orisky1,Alauda gulgula,Oriental Skylark
whwlar1,Alauda leucoptera,White-winged Lark
razsky1,Alauda razae,Razo Skylark
lstlar2,Alaudala cheleensis,Asian Short-toed Lark
tstlar1,Alaudala heinei,Turkestan Short-toed Lark
sanlar1,Alaudala raytal,Sand Lark
mstlar1,Alaudala rufescens,Mediterranean Short-toed Lark
sstlar1,Alaudala somalica,Somali Short-toed Lark
razorb,Alca torda,Razorbill
comkin1,Alcedo atthis,Common Kingfisher
smbkin1,Alcedo coerulescens,Small Blue Kingfisher
blbkin2,Alcedo euryzona,Blue-banded Kingfisher
blykin1,Alcedo hercules,Blyth's Kingfisher
blekin1,Alcedo meninting,Blue-eared Kingfisher
shbkin1,Alcedo quadribrachys,Shining-blue Kingfisher
hackin1,Alcedo semitorquata,Half-collared Kingfisher
broful1,Alcippe brunneicauda,Brown Fulvetta
gycful3,Alcippe davidi,David's Fulvetta
gycful4,Alcippe fratercula,Yunnan Fulvetta
bkbful1,Alcippe grotei,Black-browed Fulvetta
gycful5,Alcippe hueti,Huet's Fulvetta
gycful1,Alcippe morrisonia,Morrison's Fulvetta
nepful1,Alcippe nipalensis,Nepal Fulvetta
mouful1,Alcippe peracensis,Mountain Fulvetta
brcful1,Alcippe poioicephala,Brown-cheeked Fulvetta
javful1,Alcippe pyrrhoptera,Javan Fulvetta
runwhi1,Aleadryas rufinucha,Rufous-naped Bellbird
barpar2,Alectoris barbara,Barbary Partridge
chukar,Alectoris chukar,Chukar
rocpar2,Alectoris graeca,Rock Partridge
przpar1,Alectoris magna,Przevalski's Partridge
arapar1,Alectoris melanocephala,Arabian Partridge
phipar1,Alectoris philbyi,Philby's Partridge
relpar1,Alectoris rufa,Red-legged Partridge
mabpig1,Alectroenas madagascariensis,Madagascar Blue-Pigeon
mabpig2,Alectroenas nitidissimus,Mauritius Blue-Pigeon
rodblp1,Alectroenas payandeei,Rodrigues Blue-Pigeon
sebpig1,Alectroenas pulcherrimus,Seychelles Blue-Pigeon
cobpig1,Alectroenas sganzini,Comoro Blue-Pigeon
stttyr1,Alectrurus risora,Strange-tailed Tyrant
cottyr1,Alectrurus tricolor,Cock-tailed Tyrant
ausbrt1,Alectura lathami,Australian Brushturkey
ficale2,Alethe castanea,Fire-crested Alethe
ficale3,Alethe diademata,White-tailed Alethe
yefpar5,Alipiopsitta xanthops,Yellow-faced Parrot
mokpar1,Alisterus amboinensis,Moluccan King-Parrot
pakpar1,Alisterus chloropterus,Papuan King-Parrot
aukpar1,Alisterus scapularis,Australian King-Parrot
doveki,Alle alle,Dovekie
scbthr,Allenia fusca,Scaly-breasted Thrasher
brgdov1,Alopecoenas beccarii,Bronze Ground Dove
pagdov1,Alopecoenas canifrons,Palau Ground Dove
pogdov1,Alopecoenas erythropterus,Polynesian Ground Dove
tangrd1,Alopecoenas ferrugineus,Tanna Ground Dove
wegdov1,Alopecoenas hoedtii,Wetar Ground Dove
wbgdov1,Alopecoenas jobiensis,White-bibbed Ground Dove
cigdov1,Alopecoenas kubaryi,Caroline Islands Ground Dove
norgrd1,Alopecoenas norfolkensis,Norfolk Ground Dove
margrd1,Alopecoenas rubescens,Marquesas Ground Dove
tbgdov1,Alopecoenas salamonis,Thick-billed Ground Dove
scgdov1,Alopecoenas sanctaecrucis,Santa Cruz Ground Dove
frgdov1,Alopecoenas stairi,Shy Ground Dove
wtgdov1,Alopecoenas xanthonurus,White-throated Ground Dove
golbul3,Alophoixus affinis,Seram Golden-Bulbul
toggob1,Alophoixus aureus,Togian Golden-Bulbul
gycbul3,Alophoixus bres,Brown-cheeked Bulbul
halgob1,Alophoixus chloris,Halmahera Golden-Bulbul
finbul1,Alophoixus finschii,Finsch's Bulbul
whtbul1,Alophoixus flaveolus,White-throated Bulbul
gytbul1,Alophoixus frater,Gray-throated Bulbul
sulgob1,Alophoixus longirostris,Sula Golden-Bulbul
obigob1,Alophoixus lucasi,Obi Golden-Bulbul
golbul4,Alophoixus mystacalis,Buru Golden-Bulbul
ochbul2,Alophoixus ochraceus,Ochraceous Bulbul
putbul1,Alophoixus pallidus,Puff-throated Bulbul
yebbul2,Alophoixus phaeocephalus,Yellow-bellied Bulbul
sangob1,Alophoixus platenae,Sangihe Golden-Bulbul
ochbul3,Alophoixus ruficrissus,Penan Bulbul
gycbul2,Alophoixus tephrogenys,Gray-cheeked Bulbul
tahswa2,Alopochelidon fucata,Tawny-headed Swallow
egygoo,Alopochen aegyptiaca,Egyptian Goose
reushe1,Alopochen kervazoi,Reunion Shelduck
maushe1,Alopochen mauritiana,Mauritius Shelduck
rehfin1,Amadina erythrocephala,Red-headed Finch
cutthr1,Amadina fasciata,Cut-throat
legrob1,Amalocichla incerta,Lesser Ground-Robin
grgrob1,Amalocichla sclateriana,Greater Ground-Robin
redava,Amandava amandava,Red Avadavat
grnava1,Amandava formosa,Green Avadavat
zebwax2,Amandava subflava,Zebra Waxbill
unicra1,Amaurolimnas concolor,Uniform Crake
isabuh1,Amaurornis isabellina,Isabelline Bush-hen
talbuh1,Amaurornis magnirostris,Talaud Bush-hen
strcra1,Amaurornis marginalis,Striped Crake
rutbuh1,Amaurornis moluccana,Pale-vented Bush-hen
plabuh1,Amaurornis olivacea,Plain Bush-hen
whbwat1,Amaurornis phoenicurus,White-breasted Waterhen
carsee1,Amaurospiza carrizalensis,Carrizal Seedeater
blusee1,Amaurospiza concolor,Blue Seedeater
blbsee3,Amaurospiza moesta,Blackish-blue Seedeater
manhum1,Amazilia boucardi,Mangrove Hummingbird
honeme1,Amazilia luciae,Honduran Emerald
cinhum1,Amazilia rutila,Cinnamon Hummingbird
rtlhum,Amazilia tzacatl,Rufous-tailed Hummingbird
bubhum,Amazilia yucatanensis,Buff-bellied Hummingbird
amahum1,Amazilis amazilia,Amazilia Hummingbird
bufpar,Amazona aestiva,Turquoise-fronted Parrot
blbpar1,Amazona agilis,Black-billed Parrot
whfpar1,Amazona albifrons,White-fronted Parrot
orwpar,Amazona amazonica,Orange-winged Parrot
renpar1,Amazona arausiaca,Red-necked Parrot
yenpar1,Amazona auropalliata,Yellow-naped Parrot
relpar,Amazona autumnalis,Red-lored Parrot
yespar1,Amazona barbadensis,Yellow-shouldered Parrot
retpar1,Amazona brasiliensis,Red-tailed Parrot
yebpar1,Amazona collaria,Yellow-billed Parrot
blcpar2,Amazona dufresniana,Blue-cheeked Parrot
meapar,Amazona farinosa,Mealy Parrot
fespar1,Amazona festiva,Festive Parrot
licpar,Amazona finschi,Lilac-crowned Parrot
stvpar1,Amazona guildingii,St. Vincent Parrot
imppar1,Amazona imperialis,Imperial Parrot
kawpar1,Amazona kawalli,Kawall's Parrot
cubpar1,Amazona leucocephala,Cuban Parrot
marpar1,Amazona martinicana,Martinique Parrot
scnpar1,Amazona mercenarius,Scaly-naped Parrot
ywcpar,Amazona ochrocephala,Yellow-crowned Parrot
yehpar,Amazona oratrix,Yellow-headed Parrot
respar2,Amazona pretrei,Red-spectacled Parrot
rebpar7,Amazona rhodocorytha,Red-browed Parrot
tucpar1,Amazona tucumana,Tucuman Parrot
hispar1,Amazona ventralis,Hispaniolan Parrot
stlpar1,Amazona versicolor,St. Lucia Parrot
vinpar1,Amazona vinacea,Vinaceous-breasted Parrot
guapar1,Amazona violacea,Guadeloupe Parrot
recpar,Amazona viridigenalis,Red-crowned Parrot
purpar1,Amazona vittata,Puerto Rican Parrot
yelpar1,Amazona xantholora,Yellow-lored Parrot
bratea1,Amazonetta brasiliensis,Brazilian Teal
yebcac1,Amblycercus holosericeus,Yellow-billed Cacique
gofbow1,Amblyornis flavifrons,Golden-fronted Bowerbird
vogbow2,Amblyornis inornata,Vogelkop Bowerbird
macbow2,Amblyornis macgregoriae,MacGregor's Bowerbird
golbow1,Amblyornis newtoniana,Golden Bowerbird
strbow1,Amblyornis subalaris,Streaked Bowerbird
growea1,Amblyospiza albifrons,Grosbeak Weaver
schbla1,Amblyramphus holosericeus,Scarlet-headed Blackbird
yebspa1,Ammodramus aurifrons,Yellow-browed Sparrow
graspa1,Ammodramus humeralis,Grassland Sparrow
graspa,Ammodramus savannarum,Grasshopper Sparrow
batlar1,Ammomanes cinctura,Bar-tailed Lark
deslar1,Ammomanes deserti,Desert Lark
rutlar2,Ammomanes phoenicura,Rufous-tailed Lark
gralar2,Ammomanopsis grayi,Gray's Lark
gybant1,Ammonastes pelzelni,Gray-bellied Antbird
sespar1,Ammoperdix griseogularis,See-see Partridge
sanpar1,Ammoperdix heyi,Sand Partridge
sstspa,Ammospiza caudacuta,Saltmarsh Sparrow
lecspa,Ammospiza leconteii,LeConte's Sparrow
seaspa,Ammospiza maritima,Seaside Sparrow
nstspa,Ammospiza nelsoni,Nelson's Sparrow
gocmyn1,Ampeliceps coronatus,Golden-crested Myna
scafru1,Ampelioides tschudii,Scaled Fruiteater
reccot1,Ampelion rubrocristatus,Red-crested Cotinga
chccot1,Ampelion rufaxilla,Chestnut-crested Cotinga
gyhant1,Ampelornis griseiceps,Gray-headed Antbird
bktspa,Amphispiza bilineata,Black-throated Sparrow
fisspa,Amphispizopsis quinquestriata,Five-striped Sparrow
kalgra1,Amytornis ballarae,Kalkadoon Grasswren
grygra1,Amytornis barbatus,Gray Grasswren
cargra2,Amytornis dorotheae,Carpentarian Grasswren
eyrgra1,Amytornis goyderi,Eyrean Grasswren
blagra1,Amytornis housei,Black Grasswren
shtgra1,Amytornis merrotsyi,Short-tailed Grasswren
thbgra4,Amytornis modestus,Thick-billed Grasswren
sangra1,Amytornis oweni,Sandhill Grasswren
dusgra1,Amytornis purnelli,Dusky Grasswren
rusgra1,Amytornis rowleyi,Opalton Grasswren
strgra2,Amytornis striatus,Striated Grasswren
thbgra1,Amytornis textilis,Western Grasswren
rufgra1,Amytornis whitei,Rufous Grasswren
whtgra1,Amytornis woodwardi,White-throated Grasswren
whbfog1,Anabacerthia amaurotis,White-browed Foliage-gleaner
obfgle2,Anabacerthia lichtensteini,Ochre-breasted Foliage-gleaner
rutfog1,Anabacerthia ruficaudata,Rufous-tailed Foliage-gleaner
mofgle1,Anabacerthia striaticollis,Montane Foliage-gleaner
stfgle1,Anabacerthia variegaticeps,Scaly-throated Foliage-gleaner
prisun2,Anabathmis hartlaubii,Principe Sunbird
newsun2,Anabathmis newtonii,Newton's Sunbird
reisun2,Anabathmis reichenbachii,Reichenbach's Sunbird
ducfog1,Anabazenops dorsalis,Dusky-cheeked Foliage-gleaner
wcfgle1,Anabazenops fuscus,White-collared Foliage-gleaner
abttyr1,Anairetes alpinus,Ash-breasted Tit-Tyrant
jfttyr1,Anairetes fernandezianus,Juan Fernandez Tit-Tyrant
ybttyr1,Anairetes flavirostris,Yellow-billed Tit-Tyrant
bkctit1,Anairetes nigrocristatus,Black-crested Tit-Tyrant
