gbif_scientificName,wiki_commonName
Arremon brunneinucha,Chestnut-capped Brushfinch
Arremon brunneinucha frontalis,Chestnut-capped Brushfinch
Oreothraupis arremonops,Tanager Finch
Zonotrichia capensis,Rufous-collared Sparrow
Zonotrichia capensis costaricensis,Rufous-collared Sparrow
Mycteria americana,Wood Stork
Sarkidiornis sylvicola,Comb Duck
Anas georgica,Yellow-billed Pintail
Anas platyrhynchos,Mallard
Merganetta armata,Torrent Duck
Cairina moschata,Muscovy Duck
Spatula discors,Blue-winged Teal
Ara severus,Chestnut-fronted Macaw
Forpus coelestis,Pacific Parrotlet
Psittacara erythrogenys,Red-masked Parakeet
Amazona farinosa,Mealy Amazon
Amazona autumnalis,Red-lored Amazon
Amazona mercenaria,Scaly-naped Amazon
Pyrrhura melanura,Maroon-tailed Parakeet
Pyrrhura melanura pacifica,Maroon-tailed Parakeet
Pionus chalcopterus,Bronze-winged Parrot
Pionus menstruus,Blue-headed Parrot
Pionus tumultuosus,Plum-crowned Parrot
Pionus seniloides,White-capped Parrot
Pionus sordidus,Red-billed Parrot
Pionus sordidus corallinus,Red-billed Parrot
Pionus sordidus mindoensis,Red-billed Parrot
Pyrilia pulchra,Rose-faced Parrot
Touit dilectissimus,Blue-fronted Parrotlet
Bolborhynchus lineola,Barred Parakeet
Patagioenas fasciata,Band-tailed Pigeon
Patagioenas cayennensis,Pale-vented Pigeon
Patagioenas plumbea,Plumbeous Pigeon
Patagioenas plumbea chapmani,Plumbeous Pigeon
Patagioenas subvinacea,Ruddy Pigeon
Patagioenas subvinacea berlepschi,Ruddy Pigeon
Patagioenas goodsoni,Dusky Pigeon
Zenaida auriculata,Eared Dove
Columba livia,Rock Dove
Columbina minuta,Plain-breasted Ground Dove
Columbina passerina,Common Ground Dove
Columbina cruziana,Croaking Ground Dove
Columbina buckleyi,Ecuadorian Ground Dove
Paraclaravis mondetoura,Maroon-chested Ground Dove
Claravis pretiosa,Blue Ground Dove
Leptotila verreauxi,White-tipped Dove
Leptotila pallida,Pallid Dove
Geotrygon montana,Ruddy Quail-Dove
Geotrygon purpurata,Purple Quail-Dove
Zentrygon frenata,White-throated Quail-Dove
Zentrygon frenata bourcieri,White-throated Quail-Dove
Geotrygon frenata bourcieri,White-throated Quail-Dove
Megaceryle torquata,Ringed Kingfisher
Megaceryle torquata torquata,Ringed Kingfisher
Chloroceryle americana,Green Kingfisher
Chloroceryle inda,Green-and-rufous Kingfisher
Baryphthengus martii,Rufous Motmot
Baryphthengus martii semirufus,Rufous Motmot
Baryphthengus martii martii,Rufous Motmot
Momotus subrufescens argenticinctus,Whooping Motmot
Electron platyrhynchum,Broad-billed Motmot
Electron platyrhynchum platyrhynchum,Broad-billed Motmot
Streptoprocne rutila,Chestnut-collared Swift
Streptoprocne zonaris,White-collared Swift
Streptoprocne zonaris subtropicalis,White-collared Swift
Aeronautes montivagus,White-tipped Swift
Panyptila cayennensis,Lesser Swallow-Tailed Swift
Chaetura cinereiventris,Grey-rumped Swift
Chaetura spinicaudus,Band-rumped Swift
Cypseloides cryptus,White-chinned Swift
Cypseloides cherriei,Spot-fronted Swift
Cypseloides lemosi,White-chested Swift
Ramphomicron microrhynchum,Purple-backed Thornbill
Chlorostilbon gibsoni,Red-billed Emerald
Chlorostilbon mellisugus,Blue-tailed Emerald
Chlorostilbon melanorhynchus,Western Emerald
Myrtis fanny,Purple-collared Woodstar
Adelomyia melanogenys,Speckled Hummingbird
Florisuga mellivora,White-necked Jacobin
Florisuga mellivora mellivora,White-necked Jacobin
Schistes geoffroyi,Geoffroy'S Daggerbill
Schistes albogularis,White-throated Daggerbill
Schistes geoffroyi albogularis,Geoffroy'S Daggerbill
Threnetes ruckeri,Band-tailed Barbthroat
Heliothryx barroti,Purple-crowned Fairy
Urosticte benjamini,Purple-bibbed Whitetip
Urosticte benjamini benjamini,Purple-bibbed Whitetip
Lesbia nuna,Green-tailed Trainbearer
Lesbia victoriae,Black-tailed Trainbearer
Haplophaedia lugens,Hoary Puffleg
Ocreatus underwoodii,White-booted Racket-Tail
Ocreatus underwoodii melanantherus,White-booted Racket-Tail
Philodice mitchellii,Purple-throated Woodstar
Calliphlox mitchellii,Purple-throated Woodstar
Calliphlox amethystina,Amethyst Woodstar
Eutoxeres aquila,White-tipped Sicklebill
Aglaiocercus coelestis,Violet-tailed Sylph
Aglaiocercus coelestis coelestis,Violet-tailed Sylph
Aglaiocercus kingii,Long-tailed Sylph
Amazilia tzacatl,Rufous-tailed Hummingbird
Amazilia tzacatl jucunda,Rufous-tailed Hummingbird
Thalurania colombica,Crowned Woodnymph
Thalurania colombica verticeps,Crowned Woodnymph
Thalurania colombica fannyae,Crowned Woodnymph
Thalurania furcata,Fork-tailed Woodnymph
Phaethornis longuemareus,Little Hermit
Phaethornis yaruqui,White-whiskered Hermit
Phaethornis syrmatophorus,Tawny-bellied Hermit
Phaethornis syrmatophorus syrmatophorus,Tawny-bellied Hermit
Phaethornis striigularis,Stripe-throated Hermit
Phaethornis atrimentalis,Black-throated Hermit
Eriocnemis nigrivestis,Black-breasted Puffleg
Heliangelus strophianus,Gorgeted Sunangel
Anthracothorax nigricollis,Black-throated Mango
Boissonneaua jardini,Velvet-purple Coronet
Boissonneaua flavescens,Buff-tailed Coronet
Boissonneaua flavescens tinochlora,Buff-tailed Coronet
Metallura tyrianthina,Tyrian Metaltail
Urochroa bougueri,Rufous-gaped Hillstar
Discosura conversii,Green Thorntail
Chaetocercus bombus,Little Woodstar
Chaetocercus mulsant,White-bellied Woodstar
Heliodoxa rubinoides,Fawn-breasted Brilliant
Heliodoxa rubinoides aequatorialis,Fawn-breasted Brilliant
Heliodoxa jacula,Green-crowned Brilliant
Heliodoxa jacula jamesoni,Green-crowned Brilliant
Heliodoxa jacula jamersoni,Green-crowned Brilliant
Heliodoxa imperatrix,Empress Brilliant
Patagona gigas,Southern Giant Hummingbird
Doryfera ludovicae,Green-fronted Lancebill
Doryfera ludovicae ludovicae,Green-fronted Lancebill
Heliomaster longirostris,Long-billed Starthroat
Coeligena lutetiae,Buff-winged Starfrontlet
Coeligena wilsoni,Brown Inca
Coeligena torquata,Collared Inca
Coeligena coeligena,Bronzy Inca
Amazilis amazilia,Amazilia Hummingbird
Polyerata rosenbergi,Purple-chested Hummingbird
Uranomitra franciae,Andean Emerald
Uranomitra franciae viridiceps,Andean Emerald
Amazilia franciae viridiceps,Andean Emerald
Amazilia franciae,Andean Emerald
Colibri coruscans,Sparkling Violetear
Colibri coruscans coruscans,Sparkling Violetear
Colibri delphinae,Brown Violetear
Colibri cyanotus,Lesser Violetear
Colibri cyanotus cyanotus,Lesser Violetear
Chlorestes julie,Violet-bellied Hummingbird
Trogon comptus,Chocó Trogon
Trogon personatus,Masked Trogon
Trogon personatus assimilis,Masked Trogon
Trogon cupreicauda,Choco Black-Throated Trogon
Trogon collaris,Collared Trogon
Trogon caligatus,Gartered Trogon
Trogon chionurus,White-tailed Trogon
Pharomachrus antisianus,Crested Quetzal
Pharomachrus auriceps,Golden-headed Quetzal
Pharomachrus auriceps auriceps,Golden-headed Quetzal
Tyto alba,Western Barn Owl
Tyto furcata,American Barn Owl
Glaucidium nubicola,Cloud-forest Pygmy Owl
Glaucidium jardinii,Andean Pygmy Owl
Megascops ingens,Rufescent Screech Owl
Megascops ingens colombianus,Rufescent Screech Owl
Megascops colombianus,Rufescent Screech Owl
Megascops centralis,Chocó Screech Owl
Strix virgata,Mottled Owl
Strix virgata virgata,Mottled Owl
Strix albitarsis,Rufous-banded Owl
Strix nigrolineata,Black-and-white Owl
Lophostrix cristata,Crested Owl
Pulsatrix perspicillata,Spectacled Owl
Bubo virginianus,Great Horned Owl
Asio stygius,Stygian Owl
Crotophaga ani,Smooth-billed Ani
Crotophaga major,Greater Ani
Crotophaga sulcirostris,Groove-billed Ani
Coccyzus erythropthalmus,Black-billed Cuckoo
Coccyzus lansbergi,Grey-capped Cuckoo
Coccyzus melacoryphus,Dark-billed Cuckoo
Coccycua minuta,Little Cuckoo
Coccycua minuta gracilis,Little Cuckoo
Piaya cayana,Squirrel Cuckoo
Piaya cayana nigricrissa,Squirrel Cuckoo
Tapera naevia,Striped Cuckoo
Fulica ardesiaca,Andean Coot
Laterallus exilis,Grey-breasted Crake
Laterallus albigularis,White-throated Crake
Laterallus albigularis albigularis,White-throated Crake
Porzana carolina,Sora (Bird)
Rallus limicola,Virginia Rail
Porphyrio martinica,American Purple Gallinule
Gallinula galeata,Common Gallinule
Butorides striata,Striated Heron
Bubulcus ibis,Western Cattle Egret
Ardea ibis,Western Cattle Egret
Nycticorax nycticorax,Black-crowned Night Heron
Tigrisoma fasciatum,Fasciated Tiger Heron
Egretta thula,Snowy Egret
Egretta caerulea,Little Blue Heron
Ardea cocoi,Cocoi Heron
Ardea alba,Great Egret
Nyctanassa violacea,Yellow-crowned Night Heron
Nyctanassa violacea caliginis,Yellow-crowned Night Heron
Elanus leucurus,White-tailed Kite
Cryptoleucopteryx plumbea,Plumbeous Hawk
Morphnarchus princeps,Barred Hawk
Pseudastur occidentalis,Grey-backed Hawk
Parabuteo unicinctus,Harris'S Hawk
Rostrhamus sociabilis,Snail Kite
Elanoides forficatus,Swallow-tailed Kite
Elanoides forficatus yetapa,Swallow-tailed Kite
Buteo albigula,White-throated Hawk
Buteo platypterus,Broad-winged Hawk
Geranoaetus polyosoma,Variable Hawk
Buteo brachyurus,Short-tailed Hawk
Buteo brachyurus brachyurus,Short-tailed Hawk
Buteo nitidus,Gray-lined Hawk
Chondrohierax uncinatus,Hook-billed Kite
Buteogallus urubitinga,Great Black Hawk
Spizaetus tyrannus,Black Hawk-Eagle
Spizaetus ornatus,Ornate Hawk-Eagle
Spizaetus isidori,Black-and-chestnut Eagle
Spizaetus melanoleucus,Black-and-white Hawk-Eagle
Harpagus bidentatus,Double-toothed Kite
Harpagus bidentatus fasciatus,Double-toothed Kite
Gampsonyx swainsonii,Pearl Kite
Leptodon cayanensis,Gray-headed Kite
Leptodon cayanensis cayanensis,Gray-headed Kite
Ictinia plumbea,Plumbeous Kite
Rupornis magnirostris,Roadside Hawk
Rupornis magnirostris magnirostris,Roadside Hawk
Parabuteo leucorrhous,White-rumped Hawk
Microspizias superciliosus,Tiny Hawk
Microspizias collaris,Semicollared Hawk
Accipiter bicolor,Bicolored Hawk
Accipiter bicolor bicolor,Bicolored Hawk
Accipiter ventralis,Plain-breasted Hawk
Accipiter striatus,Sharp-shinned Hawk
Accipiter striatus ventralis,Sharp-shinned Hawk
Cathartes aura,Turkey Vulture
Coragyps atratus,Black Vulture
Pandion haliaetus,Osprey
Caracara plancus,Crested Caracara
Falco femoralis pichinchae,Aplomado Falcon
Falco rufigularis,Bat Falcon
Falco rufigularis petoensis,Bat Falcon
Falco peregrinus,Peregrine Falcon
Falco sparverius,American Kestrel
Falco columbarius,Merlin (Bird)
Herpetotheres cachinnans,Laughing Falcon
Micrastur ruficollis,Barred Forest Falcon
Micrastur ruficollis interstes,Barred Forest Falcon
Micrastur plumbeus,Plumbeous Forest Falcon
Micrastur semitorquatus,Collared Forest Falcon
Tachybaptus dominicus,Least Grebe
Podilymbus podiceps,Pied-billed Grebe
Tringa solitaria,Solitary Sandpiper
Tringa flavipes,Lesser Yellowlegs
Calidris minutilla,Least Sandpiper
Calidris bairdii,Baird'S Sandpiper
Actitis macularius,Spotted Sandpiper
Leucophaeus atricilla,Laughing Gull
Chroicocephalus serranus,Andean Gull
Vanellus chilensis,Southern Lapwing
Anhinga anhinga,Anhinga
Fregata magnificens,Magnificent Frigatebird
Nannopterum brasilianum,Neotropic Cormorant
Eurypyga helias,Sunbittern
Eurypyga helias major,Sunbittern
Nyctidromus albicollis,Pauraque
Nyctidromus albicollis albicollis,Pauraque
Uropsalis lyra,Lyre-tailed Nightjar
Uropsalis lyra lyra,Lyre-tailed Nightjar
Uropsalis segmentata,Swallow-tailed Nightjar
Lurocalis semitorquatus,Short-tailed Nighthawk
Lurocalis rufiventris,Rufous-bellied Nighthawk
Systellura longirostris,Band-winged Nightjar
Steatornis caripensis,Oilbird
Nyctibius griseus,Common Potoo
Nyctibius griseus panamensis,Common Potoo
