scientificName,eBird_Species_Code,eBird_common_name
Tinamotis pentlandii,puntin1,Puna Tinamou
Tinamotis ingoufi,pattin1,Patagonian Tinamou
Casuarius casuarius,soucas1,Southern Cassowary
Casuarius bennetti,dwacas1,Dwarf Cassowary
Casuarius unappendiculatus,norcas1,Northern Cassowary
Dromaius novaehollandiae,emu1,Emu
Apteryx australis,sobkiw1,Southern Brown Kiwi
Apteryx rowi,okbkiw1,Okarito Brown Kiwi
Apteryx mantelli,nibkiw1,North Island Brown Kiwi
Apteryx owenii,liskiw1,Little Spotted Kiwi
Apteryx haastii,grskiw1,Great Spotted Kiwi
Anhima cornuta,horscr1,Horned Screamer
Chauna torquata,souscr1,Southern Screamer
Chauna chavaria,norscr1,Northern Screamer
Anseranas semipalmata,maggoo1,Magpie Goose
Dendrocygna guttata,spwduc1,Spotted Whistling-Duck
Dendrocygna eytoni,plwduc1,Plumed Whistling-Duck
Dendrocygna viduata,wfwduc1,White-faced Whistling-Duck
Dendrocygna autumnalis,bbwduc,Black-bellied Whistling-Duck
Dendrocygna arborea,wiwduc1,West Indian Whistling-Duck
Dendrocygna bicolor,fuwduc,Fulvous Whistling-Duck
Dendrocygna arcuata,wawduc1,Wandering Whistling-Duck
Dendrocygna javanica,lewduc1,Lesser Whistling-Duck
Thalassornis leuconotus,whbduc1,White-backed Duck
Anser indicus,bahgoo,Bar-headed Goose
Anser canagicus,empgoo,Emperor Goose
Anser caerulescens,snogoo,Snow Goose
Anser rossii,rosgoo,Ross's Goose
Anser anser,gragoo,Graylag Goose
Anser cygnoides,swagoo1,Swan Goose
Anser albifrons,gwfgoo,Greater White-fronted Goose
Anser erythropus,lwfgoo,Lesser White-fronted Goose
Anser fabalis,taibeg1,Taiga Bean-Goose
Anser serrirostris,tunbeg1,Tundra Bean-Goose
Anser brachyrhynchus,pifgoo,Pink-footed Goose
Branta bernicla,brant,Brant
Branta leucopsis,bargoo,Barnacle Goose
Branta hutchinsii,cacgoo1,Cackling Goose
Branta canadensis,cangoo,Canada Goose
Branta sandvicensis,hawgoo,Hawaiian Goose
Branta ruficollis,rebgoo1,Red-breasted Goose
Cereopsis novaehollandiae,cabgoo1,Cape Barren Goose
Stictonetta naevosa,freduc1,Freckled Duck
Cyanochen cyanoptera,buwgoo1,Blue-winged Goose
Cygnus olor,mutswa,Mute Swan
Cygnus atratus,blkswa,Black Swan
Cygnus melancoryphus,blnswa2,Black-necked Swan
Cygnus buccinator,truswa,Trumpeter Swan
Cygnus columbianus,tunswa,Tundra Swan
Cygnus cygnus,whoswa,Whooper Swan
Coscoroba coscoroba,cosswa1,Coscoroba Swan
Sarkidiornis melanotos,comduc2,Knob-billed Duck
Sarkidiornis sylvicola,comduc3,Comb Duck
Pteronetta hartlaubii,harduc1,Hartlaub's Duck
Oressochen jubatus,origoo1,Orinoco Goose
Oressochen melanopterus,andgoo1,Andean Goose
Chloephaga picta,uplgoo1,Upland Goose
Chloephaga hybrida,kelgoo1,Kelp Goose
Chloephaga poliocephala,ashgoo1,Ashy-headed Goose
Chloephaga rubidiceps,ruhgoo1,Ruddy-headed Goose
Radjah radjah,radshe1,Radjah Shelduck
Alopochen aegyptiaca,egygoo,Egyptian Goose
Alopochen mauritiana,maushe1,Mauritius Shelduck
Alopochen kervazoi,reushe1,Reunion Shelduck
Tadorna ferruginea,rudshe,Ruddy Shelduck
Tadorna cana,soashe1,South African Shelduck
Tadorna tadornoides,ausshe1,Australian Shelduck
Tadorna variegata,parshe1,Paradise Shelduck
Tadorna tadorna,comshe,Common Shelduck
Tadorna cristata,creshe1,Crested Shelduck
Plectropterus gambensis,spwgoo1,Spur-winged Goose
Tachyeres patachonicus,flystd1,Flying Steamer-Duck
Tachyeres pteneres,flistd1,Flightless Steamer-Duck
Tachyeres brachypterus,falstd1,Falkland Steamer-Duck
Tachyeres leucocephalus,whhstd1,White-headed Steamer-Duck
Lophonetta specularioides,creduc1,Crested Duck
Speculanas specularis,speduc2,Spectacled Duck
Cairina moschata,musduc,Muscovy Duck
Nettapus pulchellus,grnpyg1,Green Pygmy-Goose
Nettapus coromandelianus,copgoo1,Cotton Pygmy-Goose
Nettapus auritus,afrpyg1,African Pygmy-Goose
Callonetta leucophrys,rintea1,Ringed Teal
Aix sponsa,wooduc,Wood Duck
Aix galericulata,manduc,Mandarin Duck
Chenonetta jubata,manduc1,Maned Duck
Chenonetta finschi,finduc1,Finsch's Duck
Amazonetta brasiliensis,bratea1,Brazilian Teal
Hymenolaimus malacorhynchos,bluduc1,Blue Duck
Merganetta armata,torduc1,Torrent Duck
Salvadorina waigiuensis,saltea1,Salvadori's Teal
Sibirionetta formosa,baitea,Baikal Teal
Spatula querquedula,gargan,Garganey
Spatula hottentota,hottea1,Blue-billed Teal
Spatula versicolor,siltea1,Silver Teal
Spatula puna,puntea1,Puna Teal
Spatula discors,buwtea,Blue-winged Teal
Spatula cyanoptera,cintea,Cinnamon Teal
Spatula platalea,redsho1,Red Shoveler
Spatula smithii,capsho1,Cape Shoveler
Spatula rhynchotis,aussho1,Australasian Shoveler
Spatula clypeata,norsho,Northern Shoveler
Mareca strepera,gadwal,Gadwall
Mareca falcata,falduc,Falcated Duck
Mareca penelope,eurwig,Eurasian Wigeon
Mareca americana,amewig,American Wigeon
Mareca sibilatrix,chiwig1,Chiloe Wigeon
Mareca marecula,amsduc1,Amsterdam Duck
Anas sparsa,afbduc1,African Black Duck
Anas undulata,yebduc1,Yellow-billed Duck
Anas melleri,melduc1,Meller's Duck
Anas superciliosa,pabduc1,Pacific Black Duck
Anas laysanensis,layduc,Laysan Duck
Anas wyvilliana,hawduc,Hawaiian Duck
Anas luzonica,phiduc1,Philippine Duck
Anas poecilorhyncha,isbduc1,Indian Spot-billed Duck
Anas zonorhyncha,spbduc,Eastern Spot-billed Duck
Anas platyrhynchos,mallar3,Mallard
Anas diazi,mexduc,Mexican Duck
Anas rubripes,ambduc,American Black Duck
Anas fulvigula,motduc,Mottled Duck
Anas capensis,captea1,Cape Teal
