CATEGORY,SPECIES_CODE,PRIMARY_COM_NAME,SCI_NAME
species,chbowl1,Chestnut-backed Owlet,Glaucidium castanotum
species,afbowl1,African Barred Owlet,Glaucidium capense
species,albowl1,Albertine Owlet,Glaucidium albertinum
species,colowl1,Collared Owlet,Taenioptynx brodiei
species,colowl3,Sunda Owlet,Taenioptynx sylvaticus
species,elfowl,Elf Owl,Micrathene whitneyi
species,lowowl1,Long-whiskered Owlet,Xenoglaux loweryi
species,spoowl1,Spotted Owlet,Athene brama
species,litowl1,Little Owl,Athene noctua
species,forowl1,Forest Owlet,Athene blewitti
species,solboo1,West Solomons Owl,Athene jacquinoti
species,solboo2,Guadalcanal Owl,Athene granti
species,solboo3,Malaita Owl,Athene malaitae
species,solboo4,Makira Owl,Athene roseoaxillaris
species,whbowl1,White-browed Owl,Athene superciliaris
species,burowl,Burrowing Owl,Athene cunicularia
species,motowl,Mottled Owl,Strix virgata
species,bawowl1,Black-and-white Owl,Strix nigrolineata
species,bkbowl1,Black-banded Owl,Strix huhula
species,rubowl3,Rufous-banded Owl,Strix albitarsis
species,spwowl1,Spotted Wood-Owl,Strix seloputo
species,mowowl1,Mottled Wood-Owl,Strix ocellata
species,brwowl1,Brown Wood-Owl,Strix leptogrammica
species,tawowl1,Tawny Owl,Strix aluco
species,tawowl3,Maghreb Owl,Strix mauritanica
species,himowl1,Himalayan Owl,Strix nivicolum
species,humowl1,Desert Owl,Strix hadorami
species,omaowl1,Omani Owl,Strix butleri
species,spoowl,Spotted Owl,Strix occidentalis
species,brdowl,Barred Owl,Strix varia
species,barowl13,Cinereous Owl,Strix sartorii
species,fulowl1,Fulvous Owl,Strix fulvescens
species,rubowl2,Rusty-barred Owl,Strix hylophila
species,rulowl1,Rufous-legged Owl,Strix rufipes
species,chaowl1,Chaco Owl,Strix chacoensis
species,uraowl1,Ural Owl,Strix uralensis
species,grgowl,Great Gray Owl,Strix nebulosa
species,afwowl1,African Wood-Owl,Strix woodfordii
species,jamowl1,Jamaican Owl,Asio grammicus
species,loeowl,Long-eared Owl,Asio otus
species,aleowl1,Abyssinian Owl,Asio abyssinicus
species,mleowl1,Madagascar Owl,Asio madagascariensis
species,strowl1,Striped Owl,Asio clamator
species,styowl1,Stygian Owl,Asio stygius
species,sheowl,Short-eared Owl,Asio flammeus
species,marowl2,Marsh Owl,Asio capensis
species,feaowl1,Fearful Owl,Asio solomonensis
species,borowl,Boreal Owl,Aegolius funereus
species,nswowl,Northern Saw-whet Owl,Aegolius acadicus
species,bswowl1,Bermuda Saw-whet Owl,Aegolius gradyi
species,uswowl1,Unspotted Saw-whet Owl,Aegolius ridgwayi
species,bufowl1,Buff-fronted Owl,Aegolius harrisii
species,rufowl2,Rufous Owl,Ninox rufa
species,powowl1,Powerful Owl,Ninox strenua
species,barowl1,Barking Owl,Ninox connivens
species,sumboo1,Sumba Boobook,Ninox rudolfi
species,andhao1,Andaman Boobook,Ninox affinis
species,souboo8,Southern Boobook,Ninox boobook
species,souboo4,Rote Boobook,Ninox rotiensis
species,souboo5,Timor Boobook,Ninox fusca
species,souboo6,Alor Boobook,Ninox plesseni
species,souboo3,Tasmanian Boobook,Ninox leucopsis
species,morepo2,Morepork,Ninox novaeseelandiae
species,lauowl1,Laughing Owl,Ninox albifacies
species,lishao1,Least Boobook,Ninox sumbaensis
species,brnhao1,Brown Boobook,Ninox scutulata
species,brnhao3,Hume's Boobook,Ninox obscura
species,norboo1,Northern Boobook,Ninox japonica
species,choboo1,Chocolate Boobook,Ninox randi
species,phihao1,Luzon Boobook,Ninox philippensis
species,minboo1,Mindanao Boobook,Ninox spilocephala
species,minboo2,Mindoro Boobook,Ninox mindorensis
species,romboo1,Romblon Boobook,Ninox spilonotus
species,cebboo1,Cebu Boobook,Ninox rumseyi
species,camboo1,Camiguin Boobook,Ninox leventisi
species,sulboo1,Sulu Boobook,Ninox reyi
species,ocbhao1,Ochre-bellied Boobook,Ninox ochracea
species,toghao1,Togian Boobook,Ninox burhani
species,cinhao1,Cinnabar Boobook,Ninox ios
species,molhao3,Halmahera Boobook,Ninox hypogramma
species,molhao2,Tanimbar Boobook,Ninox forbesi
species,hanboo2,Seram Boobook,Ninox squamipila
species,hanboo1,Buru Boobook,Ninox hantu
species,chihao1,Christmas Island Boobook,Ninox natalis
species,junhao1,Papuan Boobook,Ninox theomacha
species,manhao1,Manus Boobook,Ninox meeki
species,spehao1,Speckled Boobook,Ninox punctulata
species,bishao1,Bismarck Boobook,Ninox variegata
species,nebhao1,New Britain Boobook,Ninox odiosa
species,paphao1,Papuan Owl,Uroglaux dimorpha
species,spemou2,Speckled Mousebird,Colius striatus
species,whhmou1,White-headed Mousebird,Colius leucocephalus
species,rebmou1,Red-backed Mousebird,Colius castanotus
species,whbmou1,White-backed Mousebird,Colius colius
species,blnmou1,Blue-naped Mousebird,Urocolius macrourus
species,refmou1,Red-faced Mousebird,Urocolius indicus
species,cuckoo1,Cuckoo-roller,Leptosomus discolor
species,earque,Eared Quetzal,Euptilotis neoxenus
species,pavque1,Pavonine Quetzal,Pharomachrus pavoninus
species,gohque1,Golden-headed Quetzal,Pharomachrus auriceps
species,resque1,Resplendent Quetzal,Pharomachrus mocinno
species,whtque1,White-tipped Quetzal,Pharomachrus fulgidus
species,creque1,Crested Quetzal,Pharomachrus antisianus
species,cubtro1,Cuban Trogon,Priotelus temnurus
species,histro1,Hispaniolan Trogon,Priotelus roseigaster
species,lattro1,Lattice-tailed Trogon,Trogon clathratus
species,slttro1,Slaty-tailed Trogon,Trogon massena
species,buttro1,Blue-tailed Trogon,Trogon comptus
species,bkttro2,Ecuadorian Trogon,Trogon mesurus
species,blttro1,Black-tailed Trogon,Trogon melanurus
species,blhtro1,Black-headed Trogon,Trogon melanocephalus
species,cittro1,Citreoline Trogon,Trogon citreolus
species,whttro1,White-tailed Trogon,Trogon chionurus
species,gnbtro1,Green-backed Trogon,Trogon viridis
species,baitro1,Baird's Trogon,Trogon bairdii
species,gartro1,Gartered Trogon,Trogon caligatus
species,viotro2,Guianan Trogon,Trogon violaceus
species,viotro3,Amazonian Trogon,Trogon ramonianus
species,blctro1,Blue-crowned Trogon,Trogon curucui
species,surtro1,Surucua Trogon,Trogon surrucura
species,blttro2,Black-throated Trogon,Trogon rufus
species,eletro,Elegant Trogon,Trogon elegans
species,moutro1,Mountain Trogon,Trogon mexicanus
species,coltro1,Collared Trogon,Trogon collaris
species,mastro1,Masked Trogon,Trogon personatus
species,nartro1,Narina Trogon,Apaloderma narina
species,bactro1,Bare-cheeked Trogon,Apaloderma aequatoriale
species,battro1,Bar-tailed Trogon,Apaloderma vittatum
species,javtro1,Javan Trogon,Harpactes reinwardtii
species,sumtro1,Sumatran Trogon,Harpactes mackloti
species,maltro1,Malabar Trogon,Harpactes fasciatus
species,rentro1,Red-naped Trogon,Harpactes kasumba
species,diatro1,Diard's Trogon,Harpactes diardii
species,phitro1,Philippine Trogon,Harpactes ardens
species,whitro1,Whitehead's Trogon,Harpactes whiteheadi
species,cirtro1,Cinnamon-rumped Trogon,Harpactes orrhophaeus
species,scrtro1,Scarlet-rumped Trogon,Harpactes duvaucelii
species,rehtro1,Red-headed Trogon,Harpactes erythrocephalus
species,orbtro2,Orange-breasted Trogon,Harpactes oreskios
species,wartro1,Ward's Trogon,Harpactes wardi
species,hoopoe,Eurasian Hoopoe,Upupa epops
species,madhoo1,Madagascar Hoopoe,Upupa marginata
species,sthhoo1,St. Helena Hoopoe,Upupa antaios
species,grewoo2,Green Woodhoopoe,Phoeniculus purpureus
species,viowoo1,Violet Woodhoopoe,Phoeniculus damarensis
species,blbwoo2,Black-billed Woodhoopoe,Phoeniculus somaliensis
species,whhwoo1,White-headed Woodhoopoe,Phoeniculus bollei
species,forwoo1,Forest Scimitarbill,Rhinopomastus castaneiceps
species,blsbil1,Black Scimitarbill,Rhinopomastus aterrimus
species,cosbil1,Common Scimitarbill,Rhinopomastus cyanomelas
species,absbil1,Abyssinian Scimitarbill,Rhinopomastus minor
species,noghor1,Abyssinian Ground-Hornbill,Bucorvus abyssinicus
species,soghor1,Southern Ground-Hornbill,Bucorvus leadbeateri
species,rbdhor1,Red-billed Dwarf Hornbill,Lophoceros camurus
species,crohor1,Crowned Hornbill,Lophoceros alboterminatus
species,brahor1,Bradfield's Hornbill,Lophoceros bradfieldi
species,afphor1,African Pied Hornbill,Lophoceros fasciatus
species,hemhor1,Hemprich's Hornbill,Lophoceros hemprichii
species,afghor1,African Gray Hornbill,Lophoceros nasutus
species,pabhor1,Pale-billed Hornbill,Lophoceros pallidirostris
species,eybhor1,Eastern Yellow-billed Hornbill,Tockus flavirostris
species,sybhor1,Southern Yellow-billed Hornbill,Tockus leucomelas
species,jachor1,Jackson's Hornbill,Tockus jacksoni
species,vddhor1,Von der Decken's Hornbill,Tockus deckeni
species,monhor1,Monteiro's Hornbill,Tockus monteiri
species,srbhor1,Southern Red-billed Hornbill,Tockus rufirostris
species,drbhor1,Damara Red-billed Hornbill,Tockus damarensis
species,trbhor1,Tanzanian Red-billed Hornbill,Tockus ruahae
species,wrbhor2,Western Red-billed Hornbill,Tockus kempi
species,rebhor1,Northern Red-billed Hornbill,Tockus erythrorhynchus
species,whchor2,White-crowned Hornbill,Berenicornis comatus
species,whchor3,White-crested Hornbill,Horizocerus albocristatus
species,bldhor1,Black Dwarf Hornbill,Horizocerus hartlaubi
species,blchor1,Black-casqued Hornbill,Ceratogymna atrata
species,yechor1,Yellow-casqued Hornbill,Ceratogymna elata
species,sichor1,Silvery-cheeked Hornbill,Bycanistes brevis
species,bawhor2,Black-and-white-casqued Hornbill,Bycanistes subcylindricus
species,bnchor1,Brown-cheeked Hornbill,Bycanistes cylindricus
species,whthor1,White-thighed Hornbill,Bycanistes albotibialis
species,truhor1,Trumpeter Hornbill,Bycanistes bucinator
species,piphor1,Piping Hornbill,Bycanistes fistulator
species,helhor1,Helmeted Hornbill,Buceros vigil
species,rufhor1,Rufous Hornbill,Buceros hydrocorax
species,rhihor1,Rhinoceros Hornbill,Buceros rhinoceros
species,grehor1,Great Hornbill,Buceros bicornis
species,buchor1,Bushy-crested Hornbill,Anorrhinus galeritus
species,brnhor1,Brown Hornbill,Anorrhinus austeni
species,ruchor1,Rusty-cheeked Hornbill,Anorrhinus tickelli
species,inghor2,Indian Gray Hornbill,Ocyceros birostris
species,maghor2,Malabar Gray Hornbill,Ocyceros griseus
species,ceghor1,Sri Lanka Gray Hornbill,Ocyceros gingalensis
species,blahor1,Black Hornbill,Anthracoceros malayanus
species,sulhor2,Sulu Hornbill,Anthracoceros montani
species,maphor1,Malabar Pied-Hornbill,Anthracoceros coronatus
species,orphor1,Oriental Pied-Hornbill,Anthracoceros albirostris
species,palhor1,Palawan Hornbill,Anthracoceros marchei
species,runhor1,Rufous-necked Hornbill,Aceros nipalensis
species,knohor1,Knobbed Hornbill,Rhyticeros cassidix
species,sumhor1,Sumba Hornbill,Rhyticeros everetti
species,wrehor1,Wreathed Hornbill,Rhyticeros undulatus
species,plphor1,Plain-pouched Hornbill,Rhyticeros subruficollis
species,narhor1,Narcondam Hornbill,Rhyticeros narcondami
species,blyhor1,Blyth's Hornbill,Rhyticeros plicatus
species,sulhor1,Sulawesi Hornbill,Rhabdotorrhinus exarhatus
species,wrihor1,Wrinkled Hornbill,Rhabdotorrhinus corrugatus
species,wrbhor1,Writhe-billed Hornbill,Rhabdotorrhinus waldeni
species,wrihor2,Writhed Hornbill,Rhabdotorrhinus leucocephalus
species,tarhor1,Visayan Hornbill,Penelopides panini
species,luzhor1,Luzon Hornbill,Penelopides manillae
species,minhor2,Mindoro Hornbill,Penelopides mindorensis
species,samhor1,Samar Hornbill,Penelopides samarensis
species,minhor1,Mindanao Hornbill,Penelopides affinis
species,cubtod1,Cuban Tody,Todus multicolor
species,brbtod1,Broad-billed Tody,Todus subulatus
species,nabtod1,Narrow-billed Tody,Todus angustirostris
species,jamtod1,Jamaican Tody,Todus todus
species,purtod1,Puerto Rican Tody,Todus mexicanus
species,todmot1,Tody Motmot,Hylomanes momotula
species,bltmot1,Blue-throated Motmot,Aspatha gularis
species,rucmot1,Russet-crowned Motmot,Momotus mexicanus
species,bucmot1,Blue-capped Motmot,Momotus coeruliceps
species,bucmot2,Lesson's Motmot,Momotus lessonii
species,bucmot3,Whooping Motmot,Momotus subrufescens
species,trimot1,Trinidad Motmot,Momotus bahamensis
species,bucmot4,Amazonian Motmot,Momotus momota
species,higmot1,Andean Motmot,Momotus aequatorialis
species,rufmot1,Rufous Motmot,Baryphthengus martii
species,rucmot2,Rufous-capped Motmot,Baryphthengus ruficapillus
species,kebmot1,Keel-billed Motmot,Electron carinatum
species,brbmot1,Broad-billed Motmot,Electron platyrhynchum
species,tubmot1,Turquoise-browed Motmot,Eumomota superciliosa
species,blykin1,Blyth's Kingfisher,Alcedo hercules
species,comkin1,Common Kingfisher,Alcedo atthis
species,hackin1,Half-collared Kingfisher,Alcedo semitorquata
species,shbkin1,Shining-blue Kingfisher,Alcedo quadribrachys
species,blekin1,Blue-eared Kingfisher,Alcedo meninting
species,bubkin1,Malaysian Blue-banded Kingfisher,Alcedo peninsulae
species,bubkin2,Javan Blue-banded Kingfisher,Alcedo euryzona
species,smbkin1,Small Blue Kingfisher,Alcedo coerulescens
species,azukin1,Azure Kingfisher,Ceyx azureus
species,biskin1,Bismarck Kingfisher,Ceyx websteri
species,inbkin2,Indigo-banded Kingfisher,Ceyx cyanopectus
species,norsik1,Northern Silvery-Kingfisher,Ceyx flumenicola
species,silkin1,Southern Silvery-Kingfisher,Ceyx argentatus
species,litkin1,Little Kingfisher,Ceyx pusillus
species,bkbkin1,Black-backed Dwarf-Kingfisher,Ceyx erithaca
species,rubkin1,Rufous-backed Dwarf-Kingfisher,Ceyx rufidorsa
species,phikin1,Philippine Dwarf-Kingfisher,Ceyx melanurus
species,suldwk1,Sangihe Dwarf-Kingfisher,Ceyx sangirensis
species,sulkin1,Sulawesi Dwarf-Kingfisher,Ceyx fallax
species,vardwk1,Dimorphic Dwarf-Kingfisher,Ceyx margarethae
species,vardwk2,Sula Dwarf-Kingfisher,Ceyx wallacii
species,varkin1,Moluccan Dwarf-Kingfisher,Ceyx lepidus
species,vardwk5,Buru Dwarf-Kingfisher,Ceyx cajeli
species,vardwk6,Papuan Dwarf-Kingfisher,Ceyx solitarius
species,vardwk7,Manus Dwarf-Kingfisher,Ceyx dispar
species,vardwk8,New Ireland Dwarf-Kingfisher,Ceyx mulcatus
species,vardwk9,New Britain Dwarf-Kingfisher,Ceyx sacerdotis
species,vardwk11,New Georgia Dwarf-Kingfisher,Ceyx collectoris
species,nosdwk1,North Solomons Dwarf-Kingfisher,Ceyx meeki
species,guadwk1,Guadalcanal Dwarf-Kingfisher,Ceyx nigromaxilla
species,vardwk15,Makira Dwarf-Kingfisher,Ceyx gentianus
species,malkin1,Malachite Kingfisher,Corythornis cristatus
species,malkin2,Malagasy Kingfisher,Corythornis vintsioides
species,whbkin1,White-bellied Kingfisher,Corythornis leucogaster
species,mapkin1,Madagascar Pygmy Kingfisher,Corythornis madagascariensis
species,afpkin1,African Pygmy Kingfisher,Ispidina picta
species,dwakin1,African Dwarf Kingfisher,Ispidina lecontei
species,bankin1,Banded Kingfisher,Lacedo pulchella
species,laukoo1,Laughing Kookaburra,Dacelo novaeguineae
species,blwkoo1,Blue-winged Kookaburra,Dacelo leachii
species,spakoo1,Spangled Kookaburra,Dacelo tyro
species,rubkoo1,Rufous-bellied Kookaburra,Dacelo gaudichaud
species,shbkoo1,Shovel-billed Kookaburra,Dacelo rex
species,lickin1,Sangihe Lilac Kingfisher,Cittura sanghirensis
species,lickin2,Sulawesi Lilac Kingfisher,Cittura cyanotis
species,bnwkin1,Brown-winged Kingfisher,Pelargopsis amauroptera
species,stbkin1,Stork-billed Kingfisher,Pelargopsis capensis
species,blbkin1,Great-billed Kingfisher,Pelargopsis melanorhyncha
species,rudkin1,Ruddy Kingfisher,Halcyon coromanda
species,chbkin2,Chocolate-backed Kingfisher,Halcyon badia
species,whtkin2,White-throated Kingfisher,Halcyon smyrnensis
species,bnbkin1,Brown-breasted Kingfisher,Halcyon gularis
species,gyhkin1,Gray-headed Kingfisher,Halcyon leucocephala
species,blckin1,Black-capped Kingfisher,Halcyon pileata
species,javkin1,Javan Kingfisher,Halcyon cyanoventris
species,wookin1,Woodland Kingfisher,Halcyon senegalensis
species,mankin2,Mangrove Kingfisher,Halcyon senegaloides
species,blbkin4,Blue-breasted Kingfisher,Halcyon malimbica
species,brhkin1,Brown-hooded Kingfisher,Halcyon albiventris
species,strkin1,Striped Kingfisher,Halcyon chelicuti
species,blbkin3,Blue-black Kingfisher,Todiramphus nigrocyaneus
species,rulkin1,Rufous-lored Kingfisher,Todiramphus winchelli
species,bawkin1,Blue-and-white Kingfisher,Todiramphus diops
species,lazkin1,Lazuli Kingfisher,Todiramphus lazuli
species,rebkin2,Red-backed Kingfisher,Todiramphus pyrrhopygius
species,forkin1,Forest Kingfisher,Todiramphus macleayii
species,nebkin1,New Britain Kingfisher,Todiramphus albonotatus
species,ultkin1,Ultramarine Kingfisher,Todiramphus leucopygius
species,chbkin1,Vanuatu Kingfisher,Todiramphus farquhari
species,markin2,Marquesas Kingfisher,Todiramphus godeffroyi
species,mankin1,Mewing Kingfisher,Todiramphus ruficollaris
species,tahkin1,Society Kingfisher,Todiramphus veneratus
species,tuakin2,Tuamotu Kingfisher,Todiramphus gambieri
species,chakin2,Chattering Kingfisher,Todiramphus tutus
species,packin1,Pacific Kingfisher,Todiramphus sacer
species,mickin4,Palau Kingfisher,Todiramphus pelewensis
species,mickin1,Guam Kingfisher,Todiramphus cinnamominus
species,mickin5,Pohnpei Kingfisher,Todiramphus reichenbachii
species,flbkin1,Flat-billed Kingfisher,Todiramphus recurvirostris
species,colkin17,Colonist Kingfisher,Todiramphus colonus
species,colkin9,Torresian Kingfisher,Todiramphus sordidus
species,sackin1,Sacred Kingfisher,Todiramphus sanctus
species,colkin1,Collared Kingfisher,Todiramphus chloris
species,beakin2,Beach Kingfisher,Todiramphus saurophagus
species,colkin2,Mariana Kingfisher,Todiramphus albicilla
species,melkin1,Melanesian Kingfisher,Todiramphus tristrami
species,somkin1,Sombre Kingfisher,Todiramphus funebris
species,talkin1,Talaud Kingfisher,Todiramphus enigma
species,cibkin1,Cinnamon-banded Kingfisher,Todiramphus australasia
species,whrkin1,White-rumped Kingfisher,Caridonax fulgidus
species,hobkin1,Hook-billed Kingfisher,Melidora macrorrhina
species,moukin2,Moustached Kingfisher,Actenoides bougainvillei
species,ruckin1,Rufous-collared Kingfisher,Actenoides concretus
species,spokin1,Spotted Kingfisher,Actenoides lindsayi
species,blckin2,Blue-capped Kingfisher,Actenoides hombroni
species,grbkin1,Green-backed Kingfisher,Actenoides monachus
species,scakin1,Scaly-breasted Kingfisher,Actenoides princeps
species,yebkin1,Yellow-billed Kingfisher,Syma torotoro
species,moukin1,Mountain Kingfisher,Syma megarhyncha
species,lipkin1,Little Paradise-Kingfisher,Tanysiptera hydrocharis
species,copkin1,Common Paradise-Kingfisher,Tanysiptera galatea
species,kopkin1,Kofiau Paradise-Kingfisher,Tanysiptera ellioti
species,bipkin1,Biak Paradise-Kingfisher,Tanysiptera riedelii
species,nupkin1,Numfor Paradise-Kingfisher,Tanysiptera carolinae
species,rbpkin1,Red-breasted Paradise-Kingfisher,Tanysiptera nympha
species,bhpkin1,Brown-headed Paradise-Kingfisher,Tanysiptera danae
species,bubpak1,Buff-breasted Paradise-Kingfisher,Tanysiptera sylvia
species,bubpak2,Black-capped Paradise-Kingfisher,Tanysiptera nigriceps
species,giakin3,Giant Kingfisher,Megaceryle maxima
species,crekin1,Crested Kingfisher,Megaceryle lugubris
species,rinkin1,Ringed Kingfisher,Megaceryle torquata
species,belkin1,Belted Kingfisher,Megaceryle alcyon
species,piekin1,Pied Kingfisher,Ceryle rudis
species,amakin1,Amazon Kingfisher,Chloroceryle amazona
species,ampkin1,American Pygmy Kingfisher,Chloroceryle aenea
species,grnkin,Green Kingfisher,Chloroceryle americana
species,garkin1,Green-and-rufous Kingfisher,Chloroceryle inda
species,rbbeat1,Red-bearded Bee-eater,Nyctyornis amictus
species,bbbeat1,Blue-bearded Bee-eater,Nyctyornis athertoni
species,pbbeat1,Purple-bearded Bee-eater,Meropogon forsteni
species,blbeat1,Black Bee-eater,Merops gularis
species,bumbee1,Blue-moustached Bee-eater,Merops mentalis
species,bhbeat2,Blue-headed Bee-eater,Merops muelleri
species,rtbeat1,Red-throated Bee-eater,Merops bulocki
species,wfbeat1,White-fronted Bee-eater,Merops bullockoides
species,libeat1,Little Bee-eater,Merops pusillus
species,bbbeat2,Blue-breasted Bee-eater,Merops variegatus
species,bubbee2,Ethiopian Bee-eater,Merops lafresnayii
species,ccbeat1,Cinnamon-chested Bee-eater,Merops oreobates
species,stbeat1,Swallow-tailed Bee-eater,Merops hirundineus
species,bhbeat1,Black-headed Bee-eater,Merops breweri
species,sobeat1,Somali Bee-eater,Merops revoilii
species,wtbeat1,White-throated Bee-eater,Merops albicollis
species,grnbee1,African Green Bee-eater,Merops viridissimus
species,grnbee2,Arabian Green Bee-eater,Merops cyanophrys
species,grnbee3,Asian Green Bee-eater,Merops orientalis
species,bobeat1,Böhm's Bee-eater,Merops boehmi
species,btbeat2,Blue-throated Bee-eater,Merops viridis
species,rucbee1,Rufous-crowned Bee-eater,Merops americanus
species,bcbeat1,Blue-cheeked Bee-eater,Merops persicus
species,mabeat1,Madagascar Bee-eater,Merops superciliosus
species,btbeat1,Blue-tailed Bee-eater,Merops philippinus
species,rabeat1,Rainbow Bee-eater,Merops ornatus
species,eubeat1,European Bee-eater,Merops apiaster
species,chbeat1,Chestnut-headed Bee-eater,Merops leschenaulti
species,robeat1,Rosy Bee-eater,Merops malimbicus
species,ncbeat1,Northern Carmine Bee-eater,Merops nubicus
species,scbeat1,Southern Carmine Bee-eater,Merops nubicoides
species,eurrol1,European Roller,Coracias garrulus
species,abyrol2,Abyssinian Roller,Coracias abyssinicus
species,librol2,Lilac-breasted Roller,Coracias caudatus
species,ratrol2,Racket-tailed Roller,Coracias spatulatus
species,rucrol2,Rufous-crowned Roller,Coracias naevius
species,indrol2,Indian Roller,Coracias benghalensis
species,indrol3,Indochinese Roller,Coracias affinis
species,puwrol1,Purple-winged Roller,Coracias temminckii
species,blbrol1,Blue-bellied Roller,Coracias cyanogaster
species,brbrol1,Broad-billed Roller,Eurystomus glaucurus
species,bltrol1,Blue-throated Roller,Eurystomus gularis
species,dollar1,Dollarbird,Eurystomus orientalis
species,purrol1,Azure Roller,Eurystomus azureus
species,scagrr1,Scaly Ground-Roller,Geobiastes squamiger
species,slgrol1,Short-legged Ground-Roller,Brachypteracias leptosomus
species,ltgrol1,Long-tailed Ground-Roller,Uratelornis chimaera
species,plgrol1,Pitta-like Ground-Roller,Atelornis pittoides
species,rhgrol1,Rufous-headed Ground-Roller,Atelornis crossleyi
species,whnpuf2,White-necked Puffbird,Notharchus hyperrhynchus
species,guipuf1,Guianan Puffbird,Notharchus macrorhynchos
species,bubpuf1,Buff-bellied Puffbird,Notharchus swainsoni
species,blbpuf1,Black-breasted Puffbird,Notharchus pectoralis
species,brbpuf1,Brown-banded Puffbird,Notharchus ordii
species,piepuf1,Pied Puffbird,Notharchus tectus
species,chcpuf1,Chestnut-capped Puffbird,Bucco macrodactylus
species,spopuf1,Spotted Puffbird,Bucco tamatia
species,socpuf1,Sooty-capped Puffbird,Bucco noanamae
species,colpuf1,Collared Puffbird,Bucco capensis
species,barpuf1,Barred Puffbird,Nystalus radiatus
species,wespuf1,Western Striolated-Puffbird,Nystalus obamai
species,strpuf1,Eastern Striolated-Puffbird,Nystalus striolatus
species,whepuf1,White-eared Puffbird,Nystalus chacuru
species,spbpuf1,Spot-backed Puffbird,Nystalus maculatus
species,rutpuf1,Russet-throated Puffbird,Hypnelus ruficollis
species,rutpuf3,Two-banded Puffbird,Hypnelus bicinctus
species,whcpuf1,White-chested Puffbird,Malacoptila fusca
species,sempuf1,Semicollared Puffbird,Malacoptila semicincta
species,crcpuf1,Crescent-chested Puffbird,Malacoptila striata
species,runpuf1,Rufous-necked Puffbird,Malacoptila rufa
species,whwpuf1,White-whiskered Puffbird,Malacoptila panamensis
species,blspuf1,Black-streaked Puffbird,Malacoptila fulvogularis
species,moupuf1,Moustached Puffbird,Malacoptila mystacalis
species,lanmon1,Lanceolated Monklet,Micromonacha lanceolata
species,rubnun1,Rusty-breasted Nunlet,Nonnula rubecula
species,fucnun1,Fulvous-chinned Nunlet,Nonnula sclateri
species,bronun1,Brown Nunlet,Nonnula brunnea
species,gycnun1,Gray-cheeked Nunlet,Nonnula frontalis
species,rucnun1,Rufous-capped Nunlet,Nonnula ruficapilla
species,chhnun1,Chestnut-headed Nunlet,Nonnula amaurocephala
species,whfnun2,White-faced Nunbird,Hapaloptila castanea
species,blanun1,Black Nunbird,Monasa atra
species,blfnun1,Black-fronted Nunbird,Monasa nigrifrons
species,whfnun1,White-fronted Nunbird,Monasa morphoeus
species,yebnun1,Yellow-billed Nunbird,Monasa flavirostris
species,swwpuf1,Swallow-winged Puffbird,Chelidoptera tenebrosa
species,whejac1,White-eared Jacamar,Galbalcyrhynchus leucotis
species,purjac2,Purus Jacamar,Galbalcyrhynchus purusianus
species,whtjac1,White-throated Jacamar,Brachygalba albogularis
species,brojac2,Brown Jacamar,Brachygalba lugubris
species,pahjac1,Pale-headed Jacamar,Brachygalba goeringi
species,dubjac1,Dusky-backed Jacamar,Brachygalba salmoni
species,thtjac1,Three-toed Jacamar,Jacamaralcyon tridactyla
species,yebjac1,Yellow-billed Jacamar,Galbula albirostris
species,bucjac1,Blue-cheeked Jacamar,Galbula cyanicollis
species,rutjac1,Rufous-tailed Jacamar,Galbula ruficauda
species,grtjac1,Green-tailed Jacamar,Galbula galbula
species,whcjac1,White-chinned Jacamar,Galbula tombacea
species,blfjac1,Bluish-fronted Jacamar,Galbula cyanescens
species,cocjac2,Coppery-chested Jacamar,Galbula pastazae
species,purjac1,Purplish Jacamar,Galbula chalcothorax
species,brojac1,Bronzy Jacamar,Galbula leucogastra
species,parjac1,Paradise Jacamar,Galbula dea
species,grejac2,Great Jacamar,Jacamerops aureus
species,yebbar1,Yellow-billed Barbet,Trachyphonus purpuratus
species,crebar1,Crested Barbet,Trachyphonus vaillantii
species,raybar1,Red-and-yellow Barbet,Trachyphonus erythrocephalus
species,yebbar2,Yellow-breasted Barbet,Trachyphonus margaritatus
species,darbar1,D'Arnaud's Barbet,Trachyphonus darnaudii
species,gytbar1,Gray-throated Barbet,Gymnobucco bonapartei
species,slabar1,Sladen's Barbet,Gymnobucco sladeni
species,brnbar1,Bristle-nosed Barbet,Gymnobucco peli
species,nafbar1,Naked-faced Barbet,Gymnobucco calvus
species,whebar1,White-eared Barbet,Stactolaema leucotis
species,whybar1,Whyte's Barbet,Stactolaema whytii
species,ancbar1,Anchieta's Barbet,Stactolaema anchietae
species,grebar2,Green Barbet,Stactolaema olivacea
species,spetin1,Speckled Tinkerbird,Pogoniulus scolopaceus
species,gretin2,Green Tinkerbird,Pogoniulus simplex
species,moutin1,Moustached Tinkerbird,Pogoniulus leucomystax
species,westin1,Western Tinkerbird,Pogoniulus coryphaea
species,rertin1,Red-rumped Tinkerbird,Pogoniulus atroflavus
species,yettin1,Yellow-throated Tinkerbird,Pogoniulus subsulphureus
species,yertin1,Yellow-rumped Tinkerbird,Pogoniulus bilineatus
species,reftin1,Red-fronted Tinkerbird,Pogoniulus pusillus
species,yeftin1,Yellow-fronted Tinkerbird,Pogoniulus chrysoconus
species,yesbar1,Yellow-spotted Barbet,Buccanodon duchaillui
